dataset,seed,frac,method,acc,precision,recall,f1,n_tuned,train_time_s,infer_ms
C10C_gaussian_noise,0,0.5,BitFit,0.5190,0.5126,0.5190,0.5129,8714,47.32,0.4537
C10C_gaussian_noise,0,0.5,SSF,0.5202,0.5168,0.5202,0.5171,1792,16.61,0.4819
C10C_gaussian_noise,0,0.5,Adapter,0.5164,0.5143,0.5164,0.5139,25440,16.17,0.4957
C10C_gaussian_noise,0,0.5,LoRA,0.5276,0.5297,0.5276,0.5243,49704,18.27,0.6950
C10C_gaussian_noise,0,0.5,LFW(ours),0.4822,0.4874,0.4822,0.4734,3072,14.65,0.4589
C10C_gaussian_noise,0,0.5,FFT,0.5286,0.5271,0.5286,0.5267,1218186,34.73,0.4589
C10C_gaussian_noise,0,1,LinearProbe,0.5198,0.5172,0.5198,0.5176,1290,35.62,0.4511
C10C_gaussian_noise,0,1,BitFit,0.5192,0.5155,0.5192,0.5161,8714,34.28,0.4562
C10C_gaussian_noise,0,1,SSF,0.5286,0.5245,0.5286,0.5249,1792,33.32,0.4762
C10C_gaussian_noise,0,1,Adapter,0.5278,0.5274,0.5278,0.5261,25440,56.03,0.5148
C10C_gaussian_noise,0,1,LoRA,0.5258,0.5232,0.5258,0.5226,49704,48.42,0.6900
C10C_gaussian_noise,0,1,LFW(ours),0.4872,0.4876,0.4872,0.4697,3072,21.33,0.4658
C10C_gaussian_noise,0,1,FFT,0.5420,0.5399,0.5420,0.5398,1218186,36.91,0.4612
C10C_gaussian_noise,1,1,ZeroShot,0.4708,0.4790,0.4708,0.4587,0,0.0,0.4600
C10C_gaussian_noise,1,0.05,LinearProbe,0.4876,0.4851,0.4876,0.4807,1290,0.89,0.4546
C10C_gaussian_noise,1,0.05,BitFit,0.4918,0.4893,0.4918,0.4840,8714,1.48,0.4574
C10C_gaussian_noise,1,0.05,SSF,0.4920,0.4892,0.4920,0.4851,1792,1.45,0.4714
C10C_gaussian_noise,1,0.05,Adapter,0.4924,0.4886,0.4924,0.4843,25440,1.87,0.4924
C10C_gaussian_noise,1,0.05,LoRA,0.4882,0.4879,0.4882,0.4780,49704,3.02,0.7018
C10C_gaussian_noise,1,0.05,LFW(ours),0.4690,0.4751,0.4690,0.4548,3072,1.42,0.4501
C10C_gaussian_noise,1,0.05,FFT,0.4934,0.4899,0.4934,0.4845,1218186,1.87,0.4565
C10C_gaussian_noise,1,0.1,LinearProbe,0.4870,0.4837,0.4870,0.4837,1290,3.53,0.4586
C10C_gaussian_noise,1,0.1,BitFit,0.4966,0.4941,0.4966,0.4925,8714,4.05,0.4598
