dataset,seed,sigma,method,f1,acc
Heart,0,0.1,ZeroShot,0.807246,0.815789
Heart,0,0.1,LFW(ours),0.807246,0.815789
Heart,0,0.1,FFT,0.817544,0.828947
Heart,0,0.1,BitFit,0.807246,0.815789
Heart,0,0.5,ZeroShot,0.757102,0.763158
Heart,0,0.5,LFW(ours),0.757102,0.763158
Heart,0,0.5,FFT,0.776963,0.789474
Heart,0,0.5,BitFit,0.757102,0.763158
Heart,0,1.0,ZeroShot,0.703125,0.710526
Heart,0,1.0,LFW(ours),0.703125,0.710526
Heart,0,1.0,FFT,0.736833,0.750000
Heart,0,1.0,BitFit,0.703125,0.710526
Heart,1,0.1,ZeroShot,0.822014,0.828947
Heart,1,0.1,LFW(ours),0.822014,0.828947
Heart,1,0.1,FFT,0.822014,0.828947
Heart,1,0.1,BitFit,0.822014,0.828947
Heart,1,0.5,ZeroShot,0.794632,0.802632
Heart,1,0.5,LFW(ours),0.794632,0.802632
Heart,1,0.5,FFT,0.794632,0.802632
Heart,1,0.5,BitFit,0.794632,0.802632
Heart,1,1.0,ZeroShot,0.724638,0.736842
Heart,1,1.0,LFW(ours),0.724638,0.736842
Heart,1,1.0,FFT,0.754839,0.763158
Heart,1,1.0,BitFit,0.724638,0.736842
Heart,2,0.1,ZeroShot,0.757102,0.763158
Heart,2,0.1,LFW(ours),0.771530,0.776316
Heart,2,0.1,FFT,0.784091,0.789474
Heart,2,0.1,BitFit,0.757102,0.763158
Heart,2,0.5,ZeroShot,0.637135,0.644737
Heart,2,0.5,LFW(ours),0.661138,0.671053
Heart,2,0.5,FFT,0.688247,0.697368
Heart,2,0.5,BitFit,0.637135,0.644737
Heart,2,1.0,ZeroShot,0.609685,0.631579
Heart,2,1.0,LFW(ours),0.632440,0.657895
Heart,2,1.0,FFT,0.685102,0.697368
Heart,2,1.0,BitFit,0.609685,0.631579
Heart,3,0.1,ZeroShot,0.697316,0.697368
Heart,3,0.1,LFW(ours),0.697316,0.697368
Heart,3,0.1,FFT,0.715356,0.723684
Heart,3,0.1,BitFit,0.697316,0.697368
Heart,3,0.5,ZeroShot,0.749957,0.750000
Heart,3,0.5,LFW(ours),0.749957,0.750000
Heart,3,0.5,FFT,0.715356,0.723684
Heart,3,0.5,BitFit,0.749957,0.750000
Heart,3,1.0,ZeroShot,0.627451,0.631579
Heart,3,1.0,LFW(ours),0.627451,0.631579
Heart,3,1.0,FFT,0.666374,0.671053
